,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,CoinName,Class
42,Scrypt,PoW/PoS,41.99995383,42,-0.32640026755914475,0.9806627900713595,-0.5639137717657983,42 Coin,0
404,Scrypt,PoW/PoS,1055184902.04,532000000,-0.3097360895050833,0.9808985376249053,-0.5642072315850538,404Coin,0
1337,X13,PoW/PoS,29279424622.5027,314159265359,2.3163275497762243,1.654289976821381,-0.5484350013648994,EliteCoin,0
BTC,SHA-256,PoW,17927175.0,21000000,-0.15198666375259912,-1.273338133131503,0.1839749300980649,Bitcoin,1
ETH,Ethash,PoW,107684222.6865,0,-0.16579178308368986,-1.972143005807952,0.38613646934138907,Ethereum,1
LTC,Scrypt,PoW,63039243.3000049,84000000,-0.17002520600425183,-1.1441767793311919,-0.07103188992171959,Litecoin,1
DASH,X11,PoW/PoS,9031294.37563393,22000000,-0.38733684384428346,1.2771041241867485,-0.3721831360307715,Dash,0
XMR,CryptoNight-V7,PoW,17201143.1449131,0,-0.15902429655675607,-2.1987711468560036,0.32871172182966873,Monero,1
ETC,Ethash,PoW,113359703.0,210000000,-0.16423441192597382,-1.972238981135063,0.3861205554105589,Ethereum Classic,1
ZEC,Equihash,PoW,7383056.25,21000000,-0.14832774898303788,-1.9369325696592683,0.42279123020633586,ZCash,1
BTS,SHA-512,PoS,2741570000.0,3600570502,-0.18780899193688275,1.098333736238503,-0.06872724411973363,Bitshares,0
DGB,Multiple,PoW,11406219141.0,21000000000,0.14943372068738758,-1.7858588753187876,0.3327269762902831,DigiByte,1
BTCD,SHA-256,PoW/PoS,1288862.0,22000000,-0.3071924067473739,0.8514828816458592,-0.30892411996772634,BitcoinDark,0
XPY,SHA-256,PoS,11995334.8847328,12500000,-0.27258063373579383,0.690802677193542,-0.027930091558272856,PayCoin,0
PRC,Scrypt,PoW,5768310.0,21000000,-0.17117147128663782,-1.144173554222896,-0.07101360045211097,ProsperCoin,1
KOBO,X15,PoW/PoS,25542535.5881841,350000000,-0.2343913938848956,1.9202775525148246,-0.5565585741067073,KoboCoin,0
SPR,X11,PoW,11149733.9976203,20000000,-0.2323156219587324,-0.847723101859893,0.12071951475840796,Spreadcoin,1
ARG,Scrypt,PoW,12205795.4449549,64000000,-0.1707881151663366,-1.1441907790696748,-0.07101814209001095,Argentum,1
AUR,Scrypt,PoW/PoS,18135099.992959,16768584,-0.3260598357081987,0.9806632620160233,-0.5639193430715113,Aurora Coin,0
BLU,Scrypt,PoW/PoS,635423900.0,0,-0.31863528035436145,0.9809551545540737,-0.5640683192226613,BlueCoin,0
XMY,Multiple,PoW,1688254250.0,2000000000,-0.10395146447573651,-1.7814104556831916,0.33640551429623833,MyriadCoin,1
MOON,Scrypt,PoW,88.0,384000000000,2.5495524595594805,-1.3244391152197614,-0.09758636649276112,MoonCoin,1
ZET,SHA-256,PoW,170204389.754849,169795588,-0.14907147608094284,-1.273337922585492,0.18392759556489996,ZetaCoin,1
SXC,Scrypt,PoW,128940951.183046,250000000,-0.1680436348573657,-1.1442243877530411,-0.07105940692085604,SexCoin,1
QTL,Scrypt,PoW,7357794.7925,100000000,-0.1705922701310019,-1.1442099102519192,-0.07101945442641189,Quatloo,1
ENRG,Scrypt,PoW/PoS,123062801.128773,0,-0.32489642003200414,0.9807194124181009,-0.5639437030230684,EnergyCoin,0
QRK,Quark,PoW,259557164.91477,247000000,-0.23634198310153381,-0.43080638463746845,0.01269971518726585,QuarkCoin,1
RIC,Groestl,PoW,49548585.1412917,84000000,-0.20571668310393548,-1.1568566867705017,0.09012032282151708,Riecoin,1
DGC,Scrypt,PoW,33442988.3440364,48166000,-0.17064078945407213,-1.1441735742036754,-0.0710222115598286,Digitalcoin ,1
BTB,Scrypt,PoW/PoS,42579.476901,500000,-0.32639620514673495,0.9806625749328027,-0.5639138167125106,BitBar,0
CAT,Scrypt,PoW,7219956.64626131,21000000 ,-0.17115373191798772,-1.1441728863066902,-0.07101395352085219,Catcoin,1
CBX,Scrypt,PoW/PoS,1039116.65144562,1000000,-0.3263804843983325,0.9806627987187181,-0.5639140936934381,CryptoBullion,0
CCN,Scrypt,PoW,4703879.51824446,13140000,-0.17124017311452663,-1.1441703540191495,-0.07101279759211397,CannaCoin,1
CRYPT,X11,PoW,4996986.20575291,18000000,-0.23240498116136873,-0.8477249938760714,0.12072114964122088,CryptCoin,1
CSC,Scrypt,PoC,39999997299.8568,40000000000,0.7463338601996622,-0.19555479199208958,-0.5959633140574709,CasinoCoin,1
DMD,Groestl,PoW/PoS,3304487.74735637,4380000,-0.36185547017462055,0.9679885539999964,-0.4027659470442748,Diamond,0
XVG,Multiple,PoW,15929530669.1206,16555000000,0.17321302112339693,-1.7816909062036668,0.3319344454865203,Verge,1
DVC,SHA-256,PoW,18773857500.0,21000000000,0.22586677224579046,-1.2745571622863603,0.17796122150153942,DevCoin,1
EAC,Scrypt,PoW,12539015186.822,13500000000,0.0774962934630312,-1.1447347458064616,-0.07499477609778654,EarthCoin,1
EFL,Scrypt,PoW,20910478.8062499,21000000 ,-0.17098643141119202,-1.1441665871693367,-0.07101728332252098,E-Gulden,1
EMC2,Scrypt,PoW,218871896.499999,299792458,-0.16659184454349166,-1.1442063852672035,-0.07108472588259358,Einsteinium,1
EMD,Scrypt,PoW,19496786.31025,32000000,-0.17092576328765696,-1.144172401686082,-0.07101770076581673,Emerald,1
EXCL,PoS,PoS,5679705.0,0,-0.3677138853797213,1.6911882972559924,-0.050821633523825675,Exclusive Coin,0
FLT,Scrypt,PoS/PoW/PoT,461829905.32893,0,-0.2821426994479966,0.16194139266082788,-0.5330500795782808,FlutterCoin,0
FRK,Scrypt,PoW,1142732.14912776,11235813,-0.17129718360892504,-1.1441710985961246,-0.07101179966796999,Franko,1
FTC,NeoScrypt,PoW,208669093.00773,336000000,-0.18315263441233565,-1.653472733756438,0.14732835268209496,FeatherCoin,1
GDC,Scrypt,PoW,884125802.0,1420609614,-0.15052045420223265,-1.1444264749090234,-0.07132409737600086,GrandCoin,1
GLC,Scrypt,PoW,65672720.4708748,70000000,-0.17009222552073452,-1.1441689951991205,-0.07103156153176547,GlobalCoin,1
GLD,Scrypt,PoW,41658647.9999715,72245700,-0.17036976900849574,-1.1441810985656313,-0.07102587626051295,GoldCoin,1
HBN,Scrypt,PoW/PoS,89266933.684704,120000000,-0.3244591165174534,0.9806475273839819,-0.5639437880917726,HoboNickels,0
HYP,X11,PoS,1678520090.7713,0,-0.3325430413850745,1.117193009257497,-0.09159169070216264,HyperStake,0
IFC,Scrypt,PoW,90595753018.6314,90600000000,1.5776772726063821,-1.145015501548113,-0.09931558188844401,Infinite Coin,1
IOC,X11,PoW/PoS,17650913.9743456,22000000,-0.38723151062832645,1.2771080901543765,-0.37218523249016644,IOCoin,0
IXC,SHA-256,PoW,21089348.999,21000000,-0.15194802144908207,-1.2733366781856463,0.18397416099575617,IXcoin,1
KGC,Scrypt,PoW,151447649.8,265420800,-0.16765933063155658,-1.1442212716642168,-0.07106594822107111,KrugerCoin,1
LKY,Scrypt,PoW,19326319.14375,20000000,-0.17101287590105255,-1.144166846595694,-0.07101682881668318,LuckyCoin,1
LTB,Scrypt,PoW,1104344.22938102,1350000,-0.17136770150714728,-1.14416647526176,-0.0710111061603612,Litebar ,1
MAX,SHA3,PoW/PoS,61445805.0,100000000,-0.5086916148089686,2.638995115800173,-0.4889820773508965,MaxCoin,0
MEC,Scrypt,PoW,38151999.9930997,42000000,-0.17062693551057545,-1.1441685128509735,-0.07102293015067002,MegaCoin,1
MED,HybridScryptHash256,PoW,40431856.9,200000000,-0.165017689223936,-2.159480741375173,0.43269537308553613,MediterraneanCoin,1
MINT,Scrypt,PoS,21293925445.4969,0,-0.03163662852231052,0.8297707339518011,-0.28809689424574236,MintCoin,0
MINC,Scrypt,PoW,5804204.88794916,10000000,-0.17124897633102915,-1.1441683736437227,-0.07101284790159883,MinCoin,1
MZC,SHA-256,PoW/PoS,1613836099.99999,2419200000,-0.27050075060871576,0.8510994394229552,-0.3094822267260617,MazaCoin,0
NAUT,Scrypt,PoS,16180000.0,16180000,-0.29153964484921263,0.8199730482992742,-0.2829228518563819,Nautilus Coin,0
NAV,X13,PoW/PoS,66087096.2077108,0,-0.266730865336017,1.7883339583771187,-0.5195876184446562,NavCoin,0
NOBL,Scrypt,PoW,2366066305.76482,15000000000,-0.036190185775965694,-1.1501196052700904,-0.07262432779449714,NobleCoin,1
NMC,SHA-256,PoW,14736400.0,21000000,-0.15202565556520697,-1.2733396012369278,0.1839757061567029,Namecoin,1
NYAN,Scrypt,PoW,334709223.483138,337000000,-0.16491264791158974,-1.1441705548939618,-0.07111547481230221,NyanCoin,1
OPAL,X13,PoW/PoS,15156364.3306548,0,-0.26735324753261486,1.7883105246708013,-0.5195752310985775,OpalCoin,0
ORB,NeoScrypt,PoW/PoS,3220616.279225,3770000,-0.3430268673676051,0.471417845962643,-0.3455017131088371,Orbitcoin,0
POT,Scrypt,PoW/PoS,222677226.014206,420000000,-0.3207030831874943,0.9805680726096951,-0.5639969982785358,PotCoin,0
PXC,Scrypt,PoW/PoS,73959274.625,98000000,-0.324802066083954,0.9806508123140066,-0.5639385424092132,PhoenixCoin,0
RDD,Scrypt,PoW/PoS,29315567169.0888,0,0.031840943110246454,0.9941511568445413,-0.5710438887298974,Reddcoin,0
RPC,Scrypt,PoW,1104157.42169891,21000000,-0.1712284680235776,-1.1441757002431416,-0.07101246603935031,RonPaulCoin,1
SBC,Scrypt,PoW,24215181.725,250000000,-0.16932340155290515,-1.1442725730595327,-0.07103393557375719,StableCoin,1
SMC,Scrypt,PoW,25593737.1355044,51200000,-0.1707152103516548,-1.1441786100602382,-0.0710205124441375,SmartCoin,1
SUPER,X11,PoS,50707661.7493518,0,-0.35243518583078426,1.1164440375267675,-0.09119577501105698,SuperCoin,0
SYNC,X11,PoW/PoS,1177.0,1000,-0.38760307369907,1.2771102970029766,-0.372179417237844,SyncCoin,0
SYS,SHA-256,PoW,563336541.299966,888000000,-0.13917828901577456,-1.273494207282126,0.18378227314377388,SysCoin,1
TES,Multiple,PoS,80260463.7331396,100000000,-0.25752567472971155,0.18288121515816924,0.12502105101419492,TeslaCoin,0
TGC,SHA-256,PoW,43536800.0,47011968,-0.15148939445073464,-1.273338561490399,0.1839669011190468,TigerCoin,1
TIT,PHI1612,PoS,1622326490.46336,2300000000,-0.3021189305264554,1.7602633183228862,-0.16428623639400952,TittieCoin,0
TOR,X11,PoW/PoS,1431851.00002479,10000000,-0.38751473980912754,1.27710626113566,-0.3721804572099197,TorCoin,0
TRC,SHA-256,PoW,22935396.0,42000000,-0.15177666085868596,-1.273345687469018,0.18397225864681951,TerraCoin,1
UNB,SHA-256,PoW,2278150.0,80000000,-0.1517598359081905,-1.2733730315536358,0.18397465301213828,UnbreakableCoin,1
UNO,SHA-256,PoW,200911.79151896,250000,-0.15235031183566705,-1.2733365478492775,0.18398067752308309,Unobtanium,1
URO,X11,PoW,1207310.0,0,-0.232578835861952,-0.8477182872556654,0.12072331709659068,UroCoin,1
USDE,Scrypt,PoW/PoS,1098952592.6,1600000000,-0.30163361755673856,0.9804172919194298,-0.5642917901895822,UnitaryStatus Dollar,0
UTC,Scrypt,PoW/PoS,50235211.141939,100000000,-0.3250778065911259,0.9806389577297474,-0.5639329106695498,UltraCoin,0
VIA,Scrypt,PoW,23150892.1679687,23000000,-0.17094488159999224,-1.1441664952548387,-0.07101796664939146,ViaCoin,1
VRC,Scrypt,PoST,32021108.4136696,0,-0.29722516487605943,0.2714544386235713,-0.4047316008454883,VeriCoin,0
VTC,Lyra2REv2,PoW,51173723.8166347,84000000,-0.19514513386607804,-1.1857514434704095,0.21298896701084125,Vertcoin,1
WDC,Scrypt,PoW,119606941.0,265420800,-0.1680484295027846,-1.1442359218722824,-0.07105820394046154,WorldCoin,1
XC,X11,PoW/PoS,6950831.0970606,5500000,-0.38747918298804673,1.2771109130415186,-0.37218148810031004,X11 Coin,0
XCR,Multiple,PoS,100000000.0,0,-0.25799303320663414,0.18293724353623883,0.12502317070945015,Crypti,0
XJO,SHA-256,PoW,39195739.362088,45000000,-0.15155669933127702,-1.2733396143138638,0.18396809619252708,JouleCoin,1
XST,X13,PoW/PoS,33093725.4123502,0,-0.267134049932664,1.7883187778184824,-0.5195795938141966,StealthCoin,0
ZCC,Scrypt,PoW/PoS,147990237.978331,1000000000,-0.317506012880333,0.9802614214378365,-0.5640189732111162,ZCC Coin,0
BCN,CryptoNight,PoW,184066828814.0,184467440735,3.84863481612397,-2.3003914393722473,0.2711988407955093,ByteCoin,1
XDN,CryptoNight,PoW,6906587610.38292,10000000000,0.4474669855688146,-2.299998982298203,0.3263620915901297,DigitalNote ,1
BURST,Shabal256,PoC,1813033920.0,2158812800,0.22172385383066223,-0.7882867415927796,-0.8206433519907663,BurstCoin,1
SJCX,Counterparty,PoS,51173144.0,500000000,-0.3475957036242973,1.6652469398276364,-0.0356009841397448,StorjCoin,0
MONA,Scrypt,PoW,68194674.8711679,105120000,-0.1698125538773916,-1.1441843222709938,-0.07103460548232751,MonaCoin,1
NTRN,SHA-256,PoW/PoS,39121694.0,68000000,-0.30640413678923,0.8514786937108284,-0.3089365051875122,Neutron,0
FAIR,Groestl,PoW/PoS,53193831.0,0,-0.36127684968255896,0.9680135647898965,-0.40277777797616254,FairCoin,0
NLG,Scrypt,PoW,415032420.0,1680000000,-0.15441486931920806,-1.1447640826590766,-0.0712279564491575,Gulden,1
RBY,Scrypt,PoS,27184490.3918338,0,-0.29151981618332345,0.8199857074363716,-0.2829244085878827,RubyCoin,0
PTC,Scrypt,PoW,137517654.41397,166386000,-0.16853129730152508,-1.144181188075829,-0.07105570623879891,PesetaCoin,1
KORE,X13,PoW/PoS,2022464.886973,12000000,-0.2674287165395891,1.7882988481168416,-0.5195728671665935,Kore,0
WBB,Scrypt,PoW,181919.2435974,2628000,-0.1713699180580346,-1.1441674996484255,-0.07101097025562969,Wild Beast Coin,1
NOTE,Scrypt,PoS,174646113.934655,500000000,-0.28617491527098954,0.8198188257456174,-0.28299487780207305,Dnotes,0
FLO,Scrypt,PoW,152270664.860648,160000000,-0.16839626285998052,-1.1441714021040224,-0.07105885250017917,Flo,1
8BIT,Scrypt,PoW/PoS,1467841.0,0,-0.3263823311035919,0.9806634654391297,-0.5639141287602011,8BIT Coin,0
STV,X13,PoW/PoS,7096834.0,10000000,-0.2673808784661761,1.788302121802208,-0.5195739629373066,Sativa Coin,0
ABY,Scrypt,PoW,792537250.0,1000000000,-0.1546200331130622,-1.1442711561318124,-0.07127271197938655,ArtByte,1
FLDC,Stanford Folding,PoW,719416990.0,1000000000,-0.13603187046078757,-2.1251947189964833,0.2939235753498892,Folding Coin,1
U,X11,PoS,2689812.0,20000000,-0.35288025632012243,1.1164125548582298,-0.09118548028164945,Ucoin,0
UIS,Multiple,PoW,65113302.0,0,-0.13795810190614538,-1.7812183573673583,0.33693870849184515,Unitus,1
CYP,QuBit,PoW,6365285.0,0,-0.1955688823350427,-1.5256626794638202,0.16444827507905985,CypherPunkCoin,1
OMC,Scrypt,PoW,10140044.4430293,3371337,-0.17124296094661368,-1.14416326678907,-0.0710134437100377,OmniCron,1
VTR,Scrypt,PoW/PoS,11604722.0,20000000,-0.32611674090276527,0.9806587403063887,-0.5639179783941146,Vtorrent,0
GRE,Scrypt,PoW,4610340640.89,10000000000,-0.04419372029282015,-1.1467396920117874,-0.07282414228010273,GreenCoin,1
XCN,M7 POW,PoW,708506520.0,1840000000,-0.12082715467560218,-2.2066917292733637,0.2637973354006829,Cryptonite,1
MSC,Scrypt,PoW,619478.0,619478,-0.17137880298006647,-1.1441663554021522,-0.07101093767395779,MasterCoin,1
SOON,SHA-256,PoW,12462620.0,21000000,-0.15205344154311903,-1.2733406474243825,0.18397625918429006,SoonCoin,1
1CR,Scrypt,PoW,88213.0,92000000000,0.48050296209799104,-1.1873566591256468,-0.07737784177290327,1Credit,1
ISL,X11,PoW/PoS,1513704.0,0,-0.3875845974479435,1.2771109934002634,-0.3721797850446654,IslaCoin,0
NXS,SHA3,PoW/nPoS,63657220.0,78000000,-0.6607776465454823,3.7478537221024997,-0.2334758663816535,Nexus,0
MARS,X11,PoW,32221574.820996,33000000,-0.23196600521849728,-0.8477195094930056,0.12071348998071067,MarsCoin ,1
CTO,Lyra2RE,PoW,13742738.0,65789100,-0.16027486796200777,-2.1872220627384085,0.34805280736587924,Crypto,1
ACP,SHA-256,PoW,14747200.0002,53760000,-0.15179339311882106,-1.2733549757880662,0.18397343629715163,Anarchists Prime,1
DRZ,QUAIT,PoW/PoS,8568038.35935056,5060000,-0.40341068676550057,1.9782876913611218,-0.5587096013150237,Droidz,0
BSC,X11,PoW,15863837.5,21000000,-0.2322509290233755,-0.8477214023170869,0.12071829898925975,BowsCoin,1
SQL,X11,PoS/PoW,329200.01639,0,-0.38865316263319516,0.9081757212749552,-0.19167237853993818,Squall Coin,0
SONG,Scrypt,PoW,32565300.0,210240000,-0.16950309268492744,-1.1442500653493684,-0.0710332148009449,Song Coin,1
ZNY,Scrypt,PoW,75614500.0,250000000,-0.1686952931509121,-1.1442489237522284,-0.07104643688917552,BitZeny,1
DIGS,Scrypt,PoS,100000000.0,100000000,-0.2899214193208349,0.8199722645009864,-0.28294903947318645,Diggits,0
EXP,Ethash,PoW,10495278.0,16906397,-0.16685965332734262,-1.9721956602335047,0.3861589375389627,Expanse,1
CON,X13,PoW/PoS,23042604.0,50000000,-0.26690258686208274,1.7882906801871081,-0.5195806095531738,Paycon,0
SC,Blake2b,PoW,33098296530.0,0,0.3680522126566885,-2.1089258245071854,0.43458073914944356,Siacoin,1
EMC,SHA-256,PoW/PoS,43059794.804778,1000000000,-0.2997520565854848,0.8510429686428941,-0.3090019642603904,Emercoin,0
EGC,X15,PoW/PoS,13530556.4180753,26298000,-0.236831866588648,1.9204239909376475,-0.5565332500018321,EverGreenCoin,0
MND,X11,PoW,15867695.0,16000000,-0.23228631083226128,-0.847719053240579,0.12071864408778968,MindCoin,1
I0C,SHA-256,PoW,20997476.8650231,21000000,-0.1519491441421681,-1.2733367204568744,0.18397418334084886,I0coin,1
DCR,BLAKE256,PoW/PoS,10365046.9281661,21000000,-0.06389450022906334,0.8897834685716223,-0.4126598078141962,Decred,0
RVR,Scrypt,PoW,210000000.0,210000000,-0.1673365110945325,-1.1441683133130878,-0.07107635376649454,Revolution VR,1
HODL,1GB AES Pattern Search,PoW,11448949.0,81962100,-0.16543175229290025,-2.219101623024845,0.23272114961817705,HOdlcoin,1
EDRC,SHA-256,PoW/PoS,3669691.84494672,22000000,-0.3071633126021692,0.8514839770879492,-0.3089246990319211,EDRCoin,0
HTC,X11,PoW/PoS,10996318099.0,26550000000,-0.0650985048440313,1.2697056340979114,-0.37669139078101466,Hitcoin,0
GAME,Scrypt,PoW,69836100.0,84000000,-0.16994214726060095,-1.1441736520338222,-0.0710335430496639,Gamecredits,1
DBIC,SHA-256,PoW/PoS,5129014.0,10500000,-0.30722696601833727,0.8514900473294913,-0.30892425808297247,DubaiCoin,0
DIEM,SHA-256,PoW,21739971929.0,21626280000 ,0.2665508828415076,-1.2734864388961056,0.1771964615160245,CarpeDiemCoin,1
PWR,NIST5,PoW/PoS,10069449031.9252,0,-0.22063098349923266,1.5185144916877695,-0.5385879248109655,PWR Coin,0
BLRY,Scrypt,PoW/PoS,8998743.2411911,42000000,-0.32599269903390893,0.980647213143978,-0.5639188671310148,BillaryCoin,0
GPU,Scrypt,PoS,40477042.0,221052632,-0.28979104649495596,0.8198880480228002,-0.282942940062197,GPU Coin,0
ADZ,X11,PoW,45110324.0,84000000,-0.23144712724219957,-0.8477375217355912,0.12070682561100671,Adzcoin,1
SOIL,Dagger,PoW,5702048.0,30000000,-0.17061644543525986,-2.1026057605210844,0.42681885652938867,SoilCoin,1
YOC,Scrypt,PoW,636462.55983338,168351300,-0.1701900830195302,-1.1442450910234379,-0.07102255007981827,YoCoin,1
SIB,X11GOST,PoW,17263355.0,24000000,-0.176118697255645,-2.1942697781958636,0.25693764094040206,SibCoin,1
ERC,X11,PoW/PoS,10407269.7881868,384000000,-0.3847549733419259,1.2769348126474527,-0.37220852375544294,EuropeCoin,0
ZEIT,Scrypt,PoS,36971236046.8073, 99000000000,0.8614359447639505,0.7905074388644088,-0.29876144919858744,ZeitCoin,0
SWING,SHA-256,PoW/PoS,4377081.60953993,40000000,-0.3070271239655731,0.8514758522787094,-0.3089261168151884,SwingCoin,0
SAFEX,Scrypt,PoC,2147483647.0,2147483647,0.015554744117350566,-0.19520083301290447,-0.5841371730615179,SafeExchangeCoin,0
NEBU,PoS,PoS,20000000.0,20000000,-0.36739717314905856,1.6911854969511788,-0.05082650064551288,Nebuchadnezzar,0
FRN,Scrypt,PoW,6570807.65677618,20000000,-0.17116875041856697,-1.1441727155258874,-0.0710137264278233,Francs,1
BOLI,X11,PoW,13654082.4987998,25000000,-0.23224958944637147,-0.8477242968873494,0.12071855961532064,BolivarCoin,1
XRA,X11,PoW/PoS,134554941.15119,75000000,-0.38542737670356764,1.2771369973938598,-0.3722173338163057,Ratecoin,0
REV,SHA-256,PoW/PoS,1195525.0,222725000,-0.3057712522162377,0.8513886062764515,-0.3089379889116467,Revenu,0
CKC,SHA-256,PoW/PoS,16662820.0,525000000,-0.30344038218056885,0.8512538168032059,-0.3089626705107534,Clockcoin,0
VIP,NIST5,PoW/PoS,83450403.0,90000000,-0.34202386228449777,1.5138775888458937,-0.5361653640873473,VIP Tokens,0
BSD,X11,PoW/PoS,24387724.5010828,139000000,-0.3863201482714418,1.2770562629656546,-0.37219496827364534,BitSend,0
OMNI,Scrypt,PoW,616448.0,616448,-0.17137886147712394,-1.1441663553738186,-0.0710109367273047,Omni,1
LIR,POS 3.0,PoS,38589808.6658096,33500000,-0.34495755444214243,1.5997780174886516,-0.1383756267785849,Let it Ride,0
PUT,Scrypt,PoW/PoS,813092338.575672,2000000000,-0.3022925625728812,0.9800979808107504,-0.5642499463474313,PutinCoin,0
IBANK,Scrypt,PoW/PoS,4526324.0,44333333,-0.3260308192501002,0.9806440599347608,-0.5639179408353296,iBankCoin,0
FRWC,Scrypt,PoW/PoS,100000000.0,100000000,-0.32446967241631214,0.9806618549747715,-0.5639450144355749,Frankywillcoin,0
MUDRA,X13,PoS,5000000.0,200000000,-0.23151194900716368,1.6275223690933074,-0.23859062738051498,MudraCoin,0
PIZZA,X11,PoW,1377917.0,25000000,-0.2323996062744702,-0.8477299452659687,0.120721545417899,PizzaCoin,1
LC,X11,PoS,657000000.0,657000000,-0.34037082665681967,1.1164145628699524,-0.0913887063466116,Lutetium Coin,0
KMD,Equihash,dPoW/PoW,115898131.0,200000000,-0.21119688470035428,-1.093891986147241,0.7837911077861047,Komodo,1
GB,X11,PoW/PoS,15563873.0,50000000,-0.3870586125137477,1.2770939849981322,-0.37218666268694345,GoldBlocks,0
CTC,Scrypt,PoW/PoS,43165500.0,90000000,-0.3252350575587967,0.9806403994927689,-0.5639304991045896,CarterCoin,0
KRB,CryptoNight,PoW,7822432.72439746,10000000,0.29237586452129966,-2.2984832600422536,0.32873138708818045,Karbo,1
BXT,SHA-256,PoW/PoS,595429.0,21000000,-0.3072079664060856,0.8514830320511744,-0.30892388210396354,BitTokens,0
ZYD,SHA-256,PoW,6243840.0,9736000,-0.15220925042576613,-1.273338220742127,0.183978551264311,ZayedCoin,1
MST,X11,PoW/PoS,657636.34549789,3000000,-0.38757380137121156,1.2771091911345431,-0.37217978445438615,MustangCoin,0
ZNE,Scrypt,PoW/PoS,2581970.0,21000000,-0.32621991467552,0.9806541193934365,-0.563915853092423,ZoneCoin,0
COVAL,Multiple,PoW,1000000000.0,1200000000,-0.11803068005475993,-1.7813515596421328,0.33662827701630427,Circuits of Value,1
ROOT,Scrypt,PoW/PoS,1939889.0,0,-0.3263765625968315,0.9806636826328317,-0.5639142435714696,RootCoin,0
DOPE,Scrypt,PoW,116845228.0,200000000,-0.16854573613162058,-1.1442064800921017,-0.0710530046378717,DopeCoin,1
BTCR,Scrypt,PoS,169598616.0,0,-0.28977949137243025,0.8200512335081938,-0.28295904647733366,BitCurrency,0
DLC,SHA-256,PoW,9106714.0,10638298,-0.15216787212526875,-1.2733373271001245,0.18397779251193475,DollarCoin,1
SCN,Scrypt,PoW/PoW,665200057.0,3100000000,-0.2568972871493926,0.24740486601734796,-0.4636274327060284,Swiscoin,0
SH,Scrypt,PoW,11119200.0,30000000,-0.17104231039498494,-1.144175317371281,-0.07101552475893823,Shilling,1
BUZZ,SHA-256D,PoW/PoS,19577787259.0,20000000000,0.05423904880582875,1.8319542970004192,-0.7098087595367841,BuzzCoin,0
XPO,PoS,PoS,74033806.7949683,74000000,-0.36635423820929097,1.6911850075536332,-0.050843379916748956,Opair,0
PSB,Scrypt,PoW/PoS,33522957.0,0,-0.32599061213995234,0.9806782142979548,-0.563921925188818,PesoBit,0
HALLO,X11,PoW/PoS,264678458.288619,1500000000,-0.37373999498186267,1.2765278874754329,-0.37234760286388974,Halloween Coin,0
XZC,Lyra2Z,PoW,7568281.24956067,21400000,-0.1576711947209326,-2.19816028186698,0.3308846319303354,ZCoin,1
CFC,PoS,PoS,148716816.0,39999898,-0.365682516718717,1.6912353316040198,-0.05085919122239323,CoffeeCoin,0
ROYAL,X13,PoS,2500124.0,2500124,-0.23294194049152223,1.6276139372333798,-0.23857635091896445,RoyalCoin,0
GNJ,X14,PoW/PoS,100000000.0,100000000,-0.38758130885452774,1.7515005666709382,-0.7822839494064011,GanjaCoin V2,0
TEAM,PoS,PoS,17818682.1654,301000000,-0.365432722335257,1.6910525749544845,-0.05084541737183107,TeamUP,0
LANA,SHA-256D,PoW/PoS,1082162635.53683,7506000000,-0.2603104822137997,1.8293097243679308,-0.7044455867207972,LanaCoin,0
ELE,Ethash,PoW,26205539.0,26205539,-0.16660177950474314,-1.972192797373657,0.38615447292849153,Elementrem,1
ZCL,Equihash,PoW,5613550.0,21000000,-0.14834937265004952,-1.936933383825651,0.42279166058472495,ZClassic,1
ARK,DPoS,DPoS,108202084.0,125000000,3.720310876257044,1.796129932492682,-0.2948654522195873,ARK,0
INSANE,X11,PoW/PoS,18342813.0,30000000,-0.38716636918757424,1.2771046528209749,-0.3721859544322859,InsaneCoin,0
KLC,Scrypt,PoW,196297971.0,10000000000,-0.09813407165856948,-1.1487706343482877,-0.07175056112108152,KiloCoin,1
ATX,X11,PoW,824000000.0,500000000,-0.21898127457970504,-0.8475744428033815,0.12048859421217778,ArtexCoin,1
EMB,X13,PoW/PoS,92192822723.0,850000000,0.8650964174197817,1.8303232902301176,-0.5420534613449709,EmberCoin,0
XEN,X11,PoW/PoS,3853326.77707314,3853326.77707314,-0.38752870299715914,1.277110260898546,-0.37218062076503317,XenixCoin,0
FRE,PoS,PoS,50000000.0,50000000,-0.3668179943629535,1.6911852164220857,-0.0508358734503821,FreeCoin,0
PLNC,Scrypt,PoW/PoS,17089600.0,38540000 ,-0.32591834422183924,0.980652560155614,-0.5639205955275511,PLNCoin,0
ARCO,Scrypt,PoW/PoS,2449577.41533168,42000000,-0.3260727309529951,0.9806441998114975,-0.5639172742463141,AquariusCoin,0
KURT,X11,PoW,61364813.0,228000000,-0.23022814091709912,-0.847797645180221,0.12069290634428156,Kurrent,1
XCRE,PoS,PoS,20000000.0,20000000,-0.36739717314905856,1.6911854969511788,-0.05082650064551288,Creatio,0
ENT,X11,PoW/PoS,6069482.07721352,60000000,-0.38710377768752546,1.277084921936754,-0.3721850455396267,Eternity,0
EUC,SHA-256,PoW/PoS,12416554.0,20000000,-0.3070705960398311,0.8514889405217293,-0.3089266880244789,Eurocoin,0
