,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,CoinName,Class
ACC,Scrypt,PoW,32646731.063036,100000000,-0.17028323503322085,-1.144198274575702,-0.07102560518831921,AdCoin,1
LINX,Scrypt,PoW,33716526.0,100000000,-0.17027016195733444,-1.144197782353041,-0.07102586538328644,Linx,1
XCXT,Scrypt,PoW/PoS,19539588.0,48252000,-0.32581958776326314,0.9806491280193206,-0.5639218635541379,CoinonatX,0
ETHD,Scrypt,PoW/PoS,4200000.0,4200000,-0.32631918333994114,0.9806627507976772,-0.5639150839453595,Ethereum Dark,0
SUMO,CryptoNight,PoW,8946653.0,88888888,0.2929485927492331,-2.298519777981159,0.3287256539650403,Sumokoin,1
ODN,SHA-512,PoS,25000000.0,91388946,-0.24587126118651917,1.098731238482935,-0.06782366022371511,Obsidian,0
ADA,Ouroboros,PoS,25927070538.0,45000000000,0.6421767597445878,1.6727815566877546,0.010614785552192222,Cardano,0
REC,X11,PoW/PoS,7262402.04264803,27000000,-0.3873230310609342,1.277100963001191,-0.37218305183845474,Regalcoin,0
BTCZ,Equihash,PoW,5211553258.01514,21000000000,0.06392087588427608,-1.9443868904564479,0.42007357364825365,BitcoinZ,1
TZC,NeoScrypt,PoW/PoS,182638400.0,400000000,-0.3380267491393491,0.4713143834983695,-0.3455727730369674,TrezarCoin,0
ELM,X11,PoW,2702855668.85288,1800000000,-0.18680981256166238,-0.8473202621542673,0.11994165036024854,Elements,1
TER,Scrypt,PoW/PoS,1140734.91680375,15733333,-0.3262748453075571,0.9806559287589018,-0.563915138063911,TerraNovaCoin,0
VIVO,NeoScrypt,PoW,4165967.57499639,27000000,-0.18784120634813345,-1.653421764316963,0.14739947689684368,VIVO Coin,1
RUP,Lyra2REv2,PoS,24000000.0,24000000,-0.31636360144343917,0.7784037704720173,0.0010926759729057635,Rupee,0
BTG,Equihash,PoW,17202361.088994,21000000,-0.14820775540961917,-1.9369280517052276,0.42278884196012806,Bitcoin Gold,1
WOMEN,Scrypt,PoW/PoS,48459472454.0,25000000000,0.4429274591704888,0.9912229386234418,-0.5774302431478029,WomenCoin,0
MAY,SHA-256,PoW/PoS,92050800.0,100000000,-0.30553058885290524,0.8514880241573084,-0.3089515932122989,Theresa May Coin,0
NAMO,NIST5,PoW/PoS,560563220.0,1200000000,-0.3283282361015171,1.5135760119543347,-0.536358227376507,NamoCoin,0
LUX,PHI1612,PoW/PoS,8305775.31777569,60000000,-0.3722629597705215,1.9212618738955145,-0.44473462561511334,LUXCoin,0
PIRL,Dagger,PoW,33986980.0,156306732.71,-0.16937581582277395,-2.102652042359265,0.42680323572872236,Pirl,1
XIOS,Scrypt,PoW/PoS,2149688.0,21000000,-0.32622519723500404,0.9806539204964433,-0.56391574795302,Xios,0
BTDX,Quark,PoW/PoS,30711550.5294042,200000000,-0.39448105327559807,1.6939395256705079,-0.48014439997642683,Bitcloud 2.0,0
EBST,Scrypt,PoW,99990001.493466,100000000,-0.16946028882703323,-1.144167289306817,-0.0710419843834761,eBoost,1
KEK,POS 2.0,PoS,12330806.30517,21000000,-0.3502183517074816,1.478296683473162,-0.15893574049710912,KekCoin,0
BLHC,Scrypt,PoW/PoS,16362544.992,14788275.991,-0.3260955286774358,0.9806633761229264,-0.5639187748997381,BlackholeCoin,0
XIN,SHA-256,PoS,8999999990.0,9000000000,-0.09906215542721233,0.6907188675491112,-0.03073815042558997,Infinity Economics,0
PURA,X11,PoW,175215859.0,350000000,-0.2279723954559806,-0.8478025354085238,0.12065677225549462,Pura,1
INN,NeoScrypt,PoW,6375259.04,45000000,-0.18768666421758737,-1.6534291980871767,0.14739769382182707,Innova,1
ELLA,Ethash,PoW,12756367.0,280000000,-0.16496779650958415,-1.9723181318942504,0.38614017958704977,Ellaism,1
GBX,NeoScrypt,PoW,5832306.875,31800000,-0.18778683160851511,-1.6534232510282287,0.14739873941538809,GoByte,1
MAG,X11,PoW/PoS,38198594.8342105,144000000,-0.3861159481413321,1.2770602701746931,-0.3721986733830831,Magnet,0
TAU,DPoS,DPoS,288090567.493887,500000000,3.7251663152024803,1.7960366532445249,-0.2949351573590346,Lamden Tau,0
ECA,NIST5,PoW/PoS,28399150208.0,30000000000,0.21593476821005034,1.5128643489012603,-0.5451222856788204,Electra,0
BCD,X13,PoW/PoS,183534024.889807,210000000,-0.26380762808942343,1.788289410139291,-0.5196307173689417,Bitcoin Diamond,0
XSH,Multiple,PoW,481730566.566176,660000000,-0.1281903469892208,-1.781336511681428,0.3367917022068664,SHIELD,1
CNBC,Scrypt,PoW/PoS,110976977.29338,210000000,-0.32355609502860827,0.9806152649487465,-0.5639552970587569,Cash & Back Coin,0
XUN,CryptoNight,PoW,19281821413.4924,85000000000,1.1301286680452318,-2.329514545966216,0.318161642432369,UltraNote,1
COAL,CryptoNight,PoW,4500000.0,12500000,0.2923529783030264,-2.2984859623754574,0.3287320221501629,BitCoal,1
DAXX,Ethash,PoW,520891780.0,10000000000,-0.08988442014760399,-1.976647488416425,0.3853438957161186,DaxxCoin,1
BWK,NIST5,PoS,13247178.8807286,27716121,-0.3087748349796347,1.3531849370219857,-0.2551480038311517,Bulwark,0
KLKS,Quark,PoS,16955764.902064,20000000,-0.36137634035245775,1.5333281088899364,-0.19913262201605242,Kalkulus,0
AC3,X11,PoW,80316207.0,550000000,-0.2277149273990927,-0.8479400916918687,0.12066601222945539,AC3,1
